"","rent","rentsqm","area","rooms","yearc","bathextra","bathtile","cheating","district","location","upkitchen","wwater"
"1",741.39,10.9,68,2,1918,"no","yes","yes","Lud-Isar","good","no","yes"
"2",715.82,11.01,65,2,1995,"no","yes","yes","Lud-Isar","good","no","yes"
"3",528.25,8.38,63,3,1918,"no","yes","yes","Lud-Isar","good","no","yes"
"4",553.99,8.52,65,3,1983,"yes","yes","yes","Ram-Per","normal","no","yes"
"5",698.21,6.98,100,4,1995,"yes","yes","yes","Ram-Per","good","yes","yes"
"6",935.65,11.55,81,4,1980,"no","yes","yes","Ram-Per","normal","no","yes"
"7",204.85,3.72,55,2,1924,"yes","yes","yes","Send","normal","no","yes"
"8",426.93,5.4,79,3,1924,"no","yes","yes","Send","normal","no","yes"
"9",446.33,8.58,52,1,1957,"no","yes","yes","Send","normal","no","yes"
"10",381.45,4.95,77,3,1948,"no","yes","yes","Send","normal","no","yes"
"11",337.26,9.64,35,1,1957,"no","yes","yes","Send","normal","no","yes"
"12",756.73,11.13,68,2,1985,"no","yes","yes","Send","good","no","yes"
"13",945.9,10.28,92,3,1918,"no","yes","yes","Schwab-Frei","good","no","yes"
"14",264.93,11.52,23,1,1957.5,"no","yes","yes","SchwWest","good","no","yes"
"15",540.58,6.84,79,2,1918,"no","yes","yes","Schwab-Frei","good","no","yes"
"16",757.74,9.24,82,4,1966,"no","no","yes","Moos","normal","no","yes"
"17",538.7,7.48,72,3,1972,"no","yes","yes","Moos","normal","no","yes"
"18",796.07,4.47,178,6,1918,"no","yes","no","Alt-Le","good","no","no"
"19",461.19,9.41,49,2,2001,"no","no","yes","Maxvor","good","no","yes"
"20",752.27,8.65,87,3,1966,"yes","no","yes","SchwWest","normal","no","yes"
"21",446.55,10.38,43,2,1972,"no","yes","yes","SchwWest","normal","no","yes"
"22",548.17,8.99,61,2,1957,"no","no","yes","SchwWest","normal","no","yes"
"23",421.03,7.02,60,3,1966,"no","no","yes","SchwWest","normal","no","yes"
"24",759.57,8.53,89,4,1960,"no","no","yes","SchwWest","normal","no","yes"
"25",390,4.24,92,3,1918,"no","yes","no","SchwWest","good","no","no"
"26",436.89,6.72,65,2,1918,"no","yes","yes","SchwWest","good","no","yes"
"27",174.76,3.07,57,3,1957,"no","no","yes","BamLaim","normal","no","yes"
"28",354.91,9.34,38,1,1967,"no","no","yes","BamLaim","normal","yes","yes"
"29",491.62,9.83,50,2,1985,"no","yes","yes","BamLaim","normal","no","yes"
"30",695.36,11.04,63,2,1992,"yes","yes","yes","Maxvor","good","no","yes"
"31",540.22,7.2,75,3,1966,"no","yes","yes","Au-Haid","normal","no","yes"
"32",325.12,6.13,53,2,1976,"no","yes","yes","Obgies","normal","no","yes"
"33",598.88,6.81,88,4,1966,"no","no","yes","Pas-Obmenz","good","no","yes"
"34",466.38,6.86,68,3,1971,"no","yes","yes","Au-Lo-La","normal","no","yes"
"35",374.13,6.93,54,2,1960,"no","yes","yes","Send-West","normal","no","yes"
"36",488.3,6.34,77,3,1972,"no","yes","yes","Send-West","normal","no","yes"
"37",662.55,8.39,79,3,1957.5,"no","yes","yes","Maxvor","good","no","yes"
"38",357.05,9.92,36,2,1960,"no","yes","no","Maxvor","good","no","yes"
"39",1061.81,11.3,94,3,1993,"yes","yes","yes","Trud-Rie","good","no","yes"
"40",546.1,8.03,68,3,1918,"no","yes","yes","Neuh-Nymp","good","no","yes"
"41",360.48,5.81,62,3,1918,"no","yes","no","Neuh-Nymp","good","no","no"
"42",422.43,4.18,101,4,1918,"no","yes","no","Neuh-Nymp","good","no","yes"
"43",433.25,6.37,68,3,1966,"no","no","yes","Bogenh","normal","no","yes"
"44",521.53,10.87,48,2,1987,"no","yes","yes","Lud-Isar","good","no","yes"
"45",264.99,8.55,31,1,1973,"no","yes","yes","Mil-AmH","normal","no","yes"
"46",480.1,7.39,65,3,1971,"no","yes","yes","Mil-AmH","normal","no","yes"
"47",383.72,10.66,36,1,1972,"no","yes","yes","SchwWest","good","no","yes"
"48",636.13,11.78,54,2,1999,"no","yes","yes","Moos","normal","yes","yes"
"49",415.91,7.56,55,2,1986,"no","yes","yes","Moos","normal","no","yes"
"50",1355.28,11.99,113,4,2001,"no","yes","yes","All-Umenz","normal","no","yes"
"51",575.9,5.24,110,4,1966,"yes","yes","yes","All-Umenz","normal","no","yes"
"52",935.9,12.48,75,3,1971,"no","yes","yes","Schwab-Frei","good","no","yes"
"53",624.8,8.33,75,2,1985,"no","yes","yes","Schwab-Frei","good","no","yes"
"54",606.91,9.06,67,3,1968,"no","no","yes","Th-Ob-Fo-Fu-So","normal","yes","yes"
"55",347.68,8.91,39,1,1970,"no","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"56",373.98,10.39,36,1,1966,"no","no","yes","Send-West","normal","no","yes"
"57",1063.5,10.43,102,4,1924,"no","yes","yes","Schwab-Frei","good","no","yes"
"58",894.78,10.17,88,3,1960,"no","yes","yes","Schwab-Frei","normal","no","yes"
"59",1077.23,7.33,147,4,1918,"yes","yes","yes","Schwab-Frei","good","no","yes"
"60",331.67,5.1,65,3,1966,"no","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"61",849.24,9.99,85,3,1969,"no","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"62",1012.86,8.73,116,6,2001,"yes","yes","yes","Feld-Has","normal","no","yes"
"63",664.69,9.11,73,3,1924,"no","yes","yes","All-Umenz","normal","yes","yes"
"64",1022.6,11.36,90,3,1989,"no","yes","yes","Th-Ob-Fo-Fu-So","top","no","yes"
"65",640.32,7.91,81,3,1972,"no","no","yes","Th-Ob-Fo-Fu-So","good","no","yes"
"66",649.35,11.81,55,2,1983,"no","yes","yes","Th-Ob-Fo-Fu-So","top","no","yes"
"67",699.46,9.2,76,3,1918,"no","no","yes","Au-Haid","normal","no","yes"
"68",479.46,8.56,56,2,1957,"no","no","no","Au-Haid","good","no","yes"
"69",400.34,9.31,43,1,1984,"no","yes","yes","Obgies","normal","no","yes"
"70",1151.63,10.97,105,3,1918,"yes","yes","yes","Au-Haid","good","no","yes"
"71",593.4,8.99,66,3,1966,"no","yes","yes","Obgies","normal","no","yes"
"72",817.25,8.6,95,3,1918,"no","yes","yes","Au-Haid","normal","no","yes"
"73",584.38,9.58,61,2,1960,"no","yes","yes","SchwWest","normal","no","yes"
"74",505.62,8.87,57,3,1966,"no","no","yes","Send","normal","no","yes"
"75",621.6,8.4,74,3,1984,"no","yes","yes","Schwab-Frei","normal","no","yes"
"76",706.61,7.36,96,3,1971,"yes","yes","yes","Trud-Rie","good","no","yes"
"77",691.92,7.77,89,3,1972,"yes","yes","yes","Bogenh","good","no","yes"
