rent,area,rooms,yearc,bathextra,bathtile,cheating,district,location,upkitchen,wwater
741.39,68,2,1918.0,no,yes,yes,Lud-Isar,good,no,yes
715.82,65,2,1995.0,no,yes,yes,Lud-Isar,good,no,yes
528.25,63,3,1918.0,no,yes,yes,Lud-Isar,good,no,yes
553.99,65,3,1983.0,yes,yes,yes,Ram-Per,normal,no,yes
698.21,100,4,1995.0,yes,yes,yes,Ram-Per,good,yes,yes
935.65,81,4,1980.0,no,yes,yes,Ram-Per,normal,no,yes
204.85,55,2,1924.0,yes,yes,yes,Send,normal,no,yes
426.93,79,3,1924.0,no,yes,yes,Send,normal,no,yes
446.33,52,1,1957.0,no,yes,yes,Send,normal,no,yes
381.45,77,3,1948.0,no,yes,yes,Send,normal,no,yes
337.26,35,1,1957.0,no,yes,yes,Send,normal,no,yes
756.73,68,2,1985.0,no,yes,yes,Send,good,no,yes
945.9,92,3,1918.0,no,yes,yes,Schwab-Frei,good,no,yes
264.93,23,1,1957.0,no,yes,yes,SchwWest,good,no,yes
540.58,79,2,1918.0,no,yes,yes,Schwab-Frei,good,no,yes
757.74,82,4,1966.0,no,no,yes,Moos,normal,no,yes
538.7,72,3,1972.0,no,yes,yes,Moos,normal,no,yes
796.07,178,6,1918.0,no,yes,no,Alt-Le,good,no,no
461.19,49,2,2001.0,no,no,yes,Maxvor,good,no,yes
752.27,87,3,1966.0,yes,no,yes,SchwWest,normal,no,yes
446.55,43,2,1972.0,no,yes,yes,SchwWest,normal,no,yes
548.17,61,2,1957.0,no,no,yes,SchwWest,normal,no,yes
421.03,60,3,1966.0,no,no,yes,SchwWest,normal,no,yes
759.57,89,4,1960.0,no,no,yes,SchwWest,normal,no,yes
390.0,92,3,1918.0,no,yes,no,SchwWest,good,no,no
436.89,65,2,1918.0,no,yes,yes,SchwWest,good,no,yes
174.76,57,3,1957.0,no,no,yes,BamLaim,normal,no,yes
354.91,38,1,1967.0,no,no,yes,BamLaim,normal,yes,yes
491.62,50,2,1985.0,no,yes,yes,BamLaim,normal,no,yes
695.36,63,2,1992.0,yes,yes,yes,Maxvor,good,no,yes
540.22,75,3,1966.0,no,yes,yes,Au-Haid,normal,no,yes
325.12,53,2,1976.0,no,yes,yes,Obgies,normal,no,yes
598.88,88,4,1966.0,no,no,yes,Pas-Obmenz,good,no,yes
466.38,68,3,1971.0,no,yes,yes,Au-Lo-La,normal,no,yes
374.13,54,2,1960.0,no,yes,yes,Send-West,normal,no,yes
488.3,77,3,1972.0,no,yes,yes,Send-West,normal,no,yes
662.55,79,3,1957.0,no,yes,yes,Maxvor,good,no,yes
357.05,36,2,1960.0,no,yes,no,Maxvor,good,no,yes
1061.81,94,3,1993.0,yes,yes,yes,Trud-Rie,good,no,yes
546.1,68,3,1918.0,no,yes,yes,Neuh-Nymp,good,no,yes
360.48,62,3,1918.0,no,yes,no,Neuh-Nymp,good,no,no
422.43,101,4,1918.0,no,yes,no,Neuh-Nymp,good,no,yes
433.25,68,3,1966.0,no,no,yes,Bogenh,normal,no,yes
521.53,48,2,1987.0,no,yes,yes,Lud-Isar,good,no,yes
